code,station,time,title
RB,Rádio Beat,2022-01-14 18:35:03,THIN LIZZY - THE BOYS ARE BACK IN TOWN
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 18:35:03,Twilight Force - (07) Forest Of Destiny
MH,Metal Heart Radio,2022-01-14 18:35:04,359. Black Sabbath - Falling Off the Edge of the World
RB,Rádio Beat,2022-01-14 18:37:33,MICHAL PROKOP & FRAMUS 5 - STARA PISEN
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 18:37:49,Van Canto - (07) Last Night of the Kings
MH,Metal Heart Radio,2022-01-14 18:38:34,149. Judas Priest - Sinner
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 18:41:34,Epica - (10) Deconstruct
RB,Rádio Beat,2022-01-14 18:42:02,FREE - ALL RIGHT NOW
MH,Metal Heart Radio,2022-01-14 18:45:04,090. Led Zeppelin - Rock and Roll
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 18:45:48,Dark Moor - (08) Mio Cid
RB,Rádio Beat,2022-01-14 18:48:02,Radio BEAT - Classic Rock
MH,Metal Heart Radio,2022-01-14 18:48:48,403. Metallica - Hit the Lights
RB,Rádio Beat,2022-01-14 18:49:19,MOTT THE HOOPLE - ALL THE YOUNG DUDES
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 18:52:19,Nox Arcana - (06) Into the Shadows
RB,Rádio Beat,2022-01-14 18:53:02,RAMMSTEIN - AMERIKA
MH,Metal Heart Radio,2022-01-14 18:53:04,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-01-14 18:53:20,416. Witchfinder General - Witchfinder General
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 18:55:19,Endless Main - (06) Fall
RB,Rádio Beat,2022-01-14 18:57:02,Radio BEAT - Classic Rock
MH,Metal Heart Radio,2022-01-14 18:57:03,490. Deep Purple - Stormbringer
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 18:59:33,Rhapsody - (08) On The Way To Ainor
RB,Rádio Beat,2022-01-14 19:00:47,WHITESNAKE - HERE I GO AGAIN
MH,Metal Heart Radio,2022-01-14 19:01:04,303. Testament - D.N.R. (Do Not Resuscitate)
RB,Rádio Beat,2022-01-14 19:04:32,TRI SESTRY - ZELENA
MH,Metal Heart Radio,2022-01-14 19:04:34,023. AC-DC - Highway to Hell
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:06:36,Salamandra - (08) Victorious
RB,Rádio Beat,2022-01-14 19:07:50,JOHN LENNON - WORKING CLASS HERO
MH,Metal Heart Radio,2022-01-14 19:08:04,225. Saxon - Princess of the Night
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:10:36,Lunatica - (07) The Neverending Story
RB,Rádio Beat,2022-01-14 19:11:19,IRAS - SAMI MAME MALO
MH,Metal Heart Radio,2022-01-14 19:12:04,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-01-14 19:12:20,250. Mercyful Fate - Satan's Fall
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:16:03,XIII stoleti - (05) Ruze a kriz
RB,Rádio Beat,2022-01-14 19:16:33,METALLICA - THE UNFORGIVEN
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:21:49,Without Face - (04) The Violin Of Erich Zann
RB,Rádio Beat,2022-01-14 19:22:38,WIZARD - JA MAM MOTORKU
MH,Metal Heart Radio,2022-01-14 19:23:34,026. Accept - Balls to the Wall
RB,Rádio Beat,2022-01-14 19:26:32,SCORPIONS - WIND OF CHANGE
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:29:02,HB - (09) Away From Home
MH,Metal Heart Radio,2022-01-14 19:29:19,Metal Heart Radio - Metal Live CZ
MH,Metal Heart Radio,2022-01-14 19:29:34, - Ranní sprcha - spot
MH,Metal Heart Radio,2022-01-14 19:30:04,? - Metal_Heart_Radio_-_Jingle_Hudebn__Sv_t
MH,Metal Heart Radio,2022-01-14 19:30:19,067. Metallica - Battery
RB,Rádio Beat,2022-01-14 19:31:37,TRAUTENBERK - JARA UMI SIT
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:33:20,Nightwish - (11) Dead Boy's Poem
RB,Rádio Beat,2022-01-14 19:34:33,SWEET - LOVE IS LIKE OXYGEN
MH,Metal Heart Radio,2022-01-14 19:35:38,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-01-14 19:35:53,Eagleheart - Moment of Life
RB,Rádio Beat,2022-01-14 19:38:18,LIDOPOP - BONNEVILLE
MH,Metal Heart Radio,2022-01-14 19:39:18,Loretta - Metalová holka
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:40:02,Twisted Sister - (07) Under the Blade
RB,Rádio Beat,2022-01-14 19:42:35,AC/DC - HIGHWAY TO HELL
MH,Metal Heart Radio,2022-01-14 19:43:06,Nazgul - Jiskra &amp;#38
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:44:34,Rhapsody of Fire - (01) Abyss of Pain
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:45:33,Tragodia - (06) Iceberg
RB,Rádio Beat,2022-01-14 19:46:26,BRUTUS - PUJDEME SPOLU DO NEBE
MH,Metal Heart Radio,2022-01-14 19:46:45,? - Metal_Heart_-_Hey_Headbangers
MH,Metal Heart Radio,2022-01-14 19:47:19,Metal Heart Radio - Metal Live EN
MH,Metal Heart Radio,2022-01-14 19:47:34,Zmarchrob - Pýcha
MH,Metal Heart Radio,2022-01-14 19:48:53,Britny Fox - Long Way To Love
RB,Rádio Beat,2022-01-14 19:50:03,AEROSMITH - WALK THIS WAY
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:50:03,Howling Syn - (07) Vampyra's Symphony
MH,Metal Heart Radio,2022-01-14 19:50:50,Zmarchrob - Pýcha
MH,Metal Heart Radio,2022-01-14 19:51:04,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-01-14 19:51:21,Seven - Plá&amp;#26
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:53:18,Y and T - (02) Straight Thru The Heart
RB,Rádio Beat,2022-01-14 19:53:33,ALES BRICHTA - NEMAM
MH,Metal Heart Radio,2022-01-14 19:56:05,Within Silence - Heroes Must Return
RB,Rádio Beat,2022-01-14 19:57:32,Radio BEAT - Classic Rock
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:57:34,Fortaleza - (05) La Mulata
RB,Rádio Beat,2022-01-14 20:01:02,QUEEN - HAMMER TO FALL
MH,Metal Heart Radio,2022-01-14 20:01:06,? - Jingle_Cesta_kolem_sveta_long
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:01:36,Xandria - (12) Sweet Atonement
MH,Metal Heart Radio,2022-01-14 20:02:04,Black Sabbaka - Moda od Quasimoda
RB,Rádio Beat,2022-01-14 20:05:19,IVAN HLAS - PANI BALOGHOVA
MH,Metal Heart Radio,2022-01-14 20:05:20,Loretta - Metalová holka
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:05:51,Arven - (12) Black Is The Colour (Bonus Track)
RB,Rádio Beat,2022-01-14 20:08:35,LED ZEPPELIN - IMMIGRANT SONG
MH,Metal Heart Radio,2022-01-14 20:09:04,Within Silence - Return From The Shadows 
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:09:35,Witch Hammer - (10) Princess of desire
RB,Rádio Beat,2022-01-14 20:11:03,HARLEJ - POVESTE HO VEJS
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:14:54,XIII stoleti - (06) Upir s houslemi
RB,Rádio Beat,2022-01-14 20:15:33,POLICE - DE DO DO DO DE DA DA DA
MH,Metal Heart Radio,2022-01-14 20:19:06,Nazgul - Vlkodlak
MH,Metal Heart Radio,2022-01-14 20:19:13,Nazgul - Vlkodlak
RB,Rádio Beat,2022-01-14 20:19:37,"WANASTOWI VJECY - LZI, SEX & PRACHY"
